Gamekey,Home_team,Away_Team,Day_of_week,Month,Day,Year,Week,Player_Short_Name,Player_Team,Home_Team,rushing_yds,rushing_tds,rushing_twoptm,rushing_yds_FF_pts,rushing_tds_FF_pts,rushing_twoptm_FF_pts,total_FF_pts
55850,DAL,NYG,Sun,9,8,2013,1,T.Romo,DAL,True,-1,0,0,-1.0,0.0,0.0,-1.0
55850,DAL,NYG,Sun,9,8,2013,1,P.Tanner,DAL,True,2,0,0,0.0,0.0,0.0,0.0
55850,DAL,NYG,Sun,9,8,2013,1,D.Murray,DAL,True,86,0,0,8.0,0.0,0.0,8.0
55850,DAL,NYG,Sun,9,8,2013,1,E.Manning,NYG,False,8,0,0,0.0,0.0,0.0,0.0
55850,DAL,NYG,Sun,9,8,2013,1,D.Scott,NYG,False,23,0,0,2.0,0.0,0.0,2.0
55850,DAL,NYG,Sun,9,8,2013,1,D.Wilson,NYG,False,19,0,0,1.0,0.0,0.0,1.0
55851,WAS,PHI,Mon,9,9,2013,1,R.Griffin,WAS,True,24,0,0,2.0,0.0,0.0,2.0
55851,WAS,PHI,Mon,9,9,2013,1,R.Helu,WAS,True,5,0,0,0.0,0.0,0.0,0.0
55851,WAS,PHI,Mon,9,9,2013,1,A.Morris,WAS,True,45,1,0,4.0,6.0,0.0,10.0
55851,WAS,PHI,Mon,9,9,2013,1,M.Vick,PHI,False,56,1,0,5.0,6.0,0.0,11.0
55851,WAS,PHI,Mon,9,9,2013,1,B.Brown,PHI,False,25,0,0,2.0,0.0,0.0,2.0
55851,WAS,PHI,Mon,9,9,2013,1,L.McCoy,PHI,False,184,1,0,18.0,6.0,0.0,24.0
55852,SD,HOU,Mon,9,9,2013,1,P.Rivers,SD,True,18,0,0,1.0,0.0,0.0,1.0
55852,SD,HOU,Mon,9,9,2013,1,R.Brown,SD,True,27,0,0,2.0,0.0,0.0,2.0
55852,SD,HOU,Mon,9,9,2013,1,R.Mathews,SD,True,33,0,0,3.0,0.0,0.0,3.0
55852,SD,HOU,Mon,9,9,2013,1,L.McClain,SD,True,2,0,0,0.0,0.0,0.0,0.0
55852,SD,HOU,Mon,9,9,2013,1,B.Tate,HOU,False,55,0,0,5.0,0.0,0.0,5.0
