Gamekey,Home_team,Away_Team,Day_of_week,Month,Day,Year,Week,Player_Short_Name,Player_Team,Home_Team,receiving_rec,receiving_yds,receiving_tds,receiving_twoptm,receiving_rec_FF_pts,receiving_yds_FF_pts,receiving_tds_FF_pts,receiving_twoptm_FF_pts,total_FF_pts
55846,NYJ,TB,Sun,9,8,2013,1,V.Jackson,TB,False,7,154,0,0,15.0,7.0,0.0,0.0,22.0
55845,NO,ATL,Sun,9,8,2013,1,D.Sproles,NO,True,6,88,0,0,8.0,6.0,0.0,0.0,14.0
55845,NO,ATL,Sun,9,8,2013,1,P.Thomas,NO,True,4,16,0,0,1.0,4.0,0.0,0.0,5.0
55845,NO,ATL,Sun,9,8,2013,1,K.Stills,NO,True,2,86,0,0,8.0,2.0,0.0,0.0,10.0
55845,NO,ATL,Sun,9,8,2013,1,B.Watson,NO,True,3,31,0,0,3.0,3.0,0.0,0.0,6.0
55845,NO,ATL,Sun,9,8,2013,1,L.Moore,NO,True,2,23,0,0,2.0,2.0,0.0,0.0,4.0
55845,NO,ATL,Sun,9,8,2013,1,M.Colston,NO,True,5,68,1,0,6.0,5.0,6.0,0.0,17.0
55845,NO,ATL,Sun,9,8,2013,1,J.Graham,NO,True,4,45,1,0,4.0,4.0,6.0,0.0,14.0
55845,NO,ATL,Sun,9,8,2013,1,J.Rodgers,ATL,False,1,3,0,0,0.0,1.0,0.0,0.0,1.0
55845,NO,ATL,Sun,9,8,2013,1,S.Jackson,ATL,False,5,45,0,0,4.0,5.0,0.0,0.0,9.0
55845,NO,ATL,Sun,9,8,2013,1,J.Snelling,ATL,False,2,17,0,0,1.0,2.0,0.0,0.0,3.0
55845,NO,ATL,Sun,9,8,2013,1,T.Gonzalez,ATL,False,3,36,1,0,3.0,3.0,6.0,0.0,12.0
55845,NO,ATL,Sun,9,8,2013,1,H.Douglas,ATL,False,4,93,0,0,9.0,4.0,0.0,0.0,13.0
55845,NO,ATL,Sun,9,8,2013,1,R.White,ATL,False,2,19,0,0,1.0,2.0,0.0,0.0,3.0
55845,NO,ATL,Sun,9,8,2013,1,J.Jones,ATL,False,7,76,1,0,7.0,7.0,6.0,0.0,20.0
55845,NO,ATL,Sun,9,8,2013,1,B.Ewing,ATL,False,1,15,0,0,1.0,1.0,0.0,0.0,2.0
55847,PIT,TEN,Sun,9,8,2013,1,I.Redman,PIT,True,2,7,0,0,0.0,2.0,0.0,0.0,2.0
55847,PIT,TEN,Sun,9,8,2013,1,L.Stephens-Howling,PIT,True,2,11,0,0,1.0,2.0,0.0,0.0,3.0
