Gamekey,Home_team,Away_Team,Day_of_week,Month,Day,Year,Week,Player_Short_Name,Player_Team,Home_Team,fumbles_rec,fumbles_yds,fumbles_rec_tds,fumbles_lost,fumble_lost_FF_pts,fumble_tds_FF_pts,total_FF_pts
55864,TB,NO,Sun,9,15,2013,2,J.Freeman,TB,True,0,0,0,1,-2.0,0.0,-2.0
55864,TB,NO,Sun,9,15,2013,2,D.Brees,NO,False,0,0,0,0,0.0,0.0,0.0
55864,TB,NO,Sun,9,15,2013,2,J.Galette,NO,False,0,10,0,0,0.0,0.0,0.0
55865,NYG,DEN,Sun,9,15,2013,2,R.Mundy,NYG,True,0,0,0,0,0.0,0.0,0.0
55865,NYG,DEN,Sun,9,15,2013,2,K.Moreno,DEN,False,0,5,0,0,0.0,0.0,0.0
55865,NYG,DEN,Sun,9,15,2013,2,M.Ball,DEN,False,0,0,0,1,-2.0,0.0,-2.0
55865,NYG,DEN,Sun,9,15,2013,2,D.Thomas,DEN,False,0,0,0,0,0.0,0.0,0.0
55866,OAK,JAC,Sun,9,15,2013,2,T.Pryor,OAK,True,0,0,0,0,0.0,0.0,0.0
55866,OAK,JAC,Sun,9,15,2013,2,D.McFadden,OAK,True,0,0,0,1,-2.0,0.0,-2.0
55866,OAK,JAC,Sun,9,15,2013,2,J.Mastrud,OAK,True,0,0,0,0,0.0,0.0,0.0
55866,OAK,JAC,Sun,9,15,2013,2,J.Todman,JAC,False,0,0,0,0,0.0,0.0,0.0
55866,OAK,JAC,Sun,9,15,2013,2,D.Lowery,JAC,False,0,0,0,0,0.0,0.0,0.0
55866,OAK,JAC,Sun,9,15,2013,2,B.Meester,JAC,False,0,-7,0,0,0.0,0.0,0.0
55867,SEA,SF,Sun,9,15,2013,2,R.Wilson,SEA,True,0,-3,0,0,0.0,0.0,0.0
55867,SEA,SF,Sun,9,15,2013,2,K.Wright,SEA,True,0,0,0,0,0.0,0.0,0.0
55867,SEA,SF,Sun,9,15,2013,2,B.Maxwell,SEA,True,0,0,0,0,0.0,0.0,0.0
55867,SEA,SF,Sun,9,15,2013,2,C.Kaepernick,SF,False,0,0,0,1,-2.0,0.0,-2.0
55867,SEA,SF,Sun,9,15,2013,2,P.Cox,SF,False,0,0,0,1,-2.0,0.0,-2.0
