player_id,player_name,player_position,player_team,player_bye,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9
359.p.24089,Dennis Pitta,TE,Bal,8,6.90,19.20,10.20,4.70,12.90,9.60,8.00,0.00,0.00
359.p.27581,Davante Adams,WR,GB,4,14.00,3.60,10.30,0.00,19.50,5.40,38.20,19.40,0.00
359.p.7755,Vernon Davis,TE,Was,9,3.00,10.10,0.00,1.80,4.50,13.00,13.90,14.30,0.00
359.p.27567,Marqise Lee,WR,Jax,5,4.20,12.50,9.40,6.80,0.00,12.10,17.70,1.10,0.00
359.p.28378,Jason Myers,K,Jax,5,13.00,2.00,6.00,14.00,0.00,5.00,11.00,2.00,0.00
359.p.27658,James White,RB,NE,9,9.40,4.90,2.40,11.20,12.90,26.60,11.20,4.90,0.00
359.p.100022,Arizona,DEF,Ari,9,6.00,23.00,8.00,5.00,15.00,12.00,8.00,3.00,0.00
359.p.28493,Jamison Crowder,WR,Was,9,11.80,15.90,17.80,4.10,12.50,13.30,17.80,25.70,0.00
359.p.100028,Washington,DEF,Was,9,-1.00,6.00,8.00,8.00,15.00,6.00,4.00,7.00,0.00
359.p.25767,Brock Osweiler,QB,Hou,9,17.64,12.42,8.14,17.56,10.36,17.36,4.84,10.14,0.00
359.p.28417,Phillip Dorsett,WR,Ind,10,13.40,4.00,5.70,13.70,4.60,3.20,0.00,8.30,0.00
359.p.8907,Gary Barnidge,TE,Cle,13,0.00,7.70,13.60,12.70,12.60,8.90,12.60,7.20,0.00
359.p.25937,Rishard Matthews,WR,Ten,13,5.60,8.00,6.20,10.20,13.20,16.00,7.70,13.80,0.00
359.p.29255,Will Fuller,,,,21.70,14.40,6.10,27.10,1.40,0.00,6.20,3.30,0.00
359.p.7505,Nick Novak,K,Hou,9,11.00,14.00,0.00,12.00,7.00,8.00,11.00,8.00,0.00
359.p.26664,Robert Woods,,,,6.00,2.00,11.10,15.90,4.60,16.00,0.00,9.00,0.00
