Gamekey,Home_team,Away_Team,Day_of_week,Month,Day,Year,Week,Player_Short_Name,Player_Team,Home_Team,passing_att,passing_incmp,passing_cmp,passing_tds,passing_int,passing_yds,passing_twoptm,passing_yds_FF_pts,passing_tds_FF_pts,passing_twopt_FF_pts,intercept_FF_pts,total_FF_pts
55872,CAR,NYG,Sun,9,22,2013,3,C.Painter,NYG,False,4,0,2,0,1,16,0,0.0,0.0,0.0,-1.0,-1.0
55872,CAR,NYG,Sun,9,22,2013,3,E.Manning,NYG,False,23,0,12,0,1,119,0,4.0,0.0,0.0,-1.0,3.0
55881,SF,IND,Sun,9,22,2013,3,C.Kaepernick,SF,True,27,0,13,0,1,150,0,6.0,0.0,0.0,-1.0,5.0
55881,SF,IND,Sun,9,22,2013,3,A.Luck,IND,False,27,0,18,0,0,164,0,6.0,0.0,0.0,0.0,6.0
55882,SEA,JAC,Sun,9,22,2013,3,T.Jackson,SEA,True,8,0,7,1,0,129,0,5.0,4.0,0.0,0.0,9.0
55882,SEA,JAC,Sun,9,22,2013,3,R.Wilson,SEA,True,21,0,14,4,1,202,0,8.0,16.0,0.0,-1.0,23.0
55882,SEA,JAC,Sun,9,22,2013,3,C.Henne,JAC,False,38,0,18,0,2,235,0,9.0,0.0,0.0,-2.0,7.0
55883,PIT,CHI,Sun,9,22,2013,3,B.Roethlisberger,PIT,True,41,0,26,2,2,406,0,16.0,8.0,0.0,-2.0,22.0
55883,PIT,CHI,Sun,9,22,2013,3,J.Cutler,CHI,False,30,0,20,1,0,159,0,6.0,4.0,0.0,0.0,10.0
55884,DEN,OAK,Mon,9,23,2013,3,P.Manning,DEN,True,37,0,32,3,0,374,0,14.0,12.0,0.0,0.0,26.0
55884,DEN,OAK,Mon,9,23,2013,3,T.Pryor,OAK,False,28,0,19,1,0,281,0,11.0,4.0,0.0,0.0,15.0
55884,DEN,OAK,Mon,9,23,2013,3,D.McFadden,OAK,False,1,0,1,1,0,16,0,0.0,4.0,0.0,0.0,4.0
55884,DEN,OAK,Mon,9,23,2013,3,M.Flynn,OAK,False,2,0,1,0,0,19,0,0.0,0.0,0.0,0.0,0.0
55885,STL,SF,Thu,9,26,2013,4,S.Bradford,STL,True,41,0,19,1,1,202,0,8.0,4.0,0.0,-1.0,11.0
55885,STL,SF,Thu,9,26,2013,4,C.Kaepernick,SF,False,23,0,15,2,0,167,0,6.0,8.0,0.0,0.0,14.0
55886,BUF,BAL,Sun,9,29,2013,4,E.Manuel,BUF,True,22,0,10,1,2,167,0,6.0,4.0,0.0,-2.0,8.0
55886,BUF,BAL,Sun,9,29,2013,4,J.Flacco,BAL,False,50,0,25,2,5,347,0,13.0,8.0,0.0,-5.0,16.0
55887,CLE,CIN,Sun,9,29,2013,4,B.Hoyer,CLE,True,38,0,25,2,0,269,0,10.0,8.0,0.0,0.0,18.0
55887,CLE,CIN,Sun,9,29,2013,4,A.Dalton,CIN,False,42,0,23,0,1,206,0,8.0,0.0,0.0,-1.0,7.0
